"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2023","4.2098","4.2400","4.2420","4.2092","","-0.70%"
"04/17/2023","4.2397","4.2268","4.2430","4.2129","","0.45%"
"04/14/2023","4.2208","4.1953","4.2308","4.1843","","0.66%"
"04/13/2023","4.1933","4.2320","4.2396","4.1901","","-0.89%"
"04/12/2023","4.2308","4.2769","4.2818","4.2280","","-1.04%"
"04/11/2023","4.2752","4.3178","4.3197","4.2695","","-0.89%"
"04/10/2023","4.3138","4.2847","4.3302","4.2845","","0.76%"
"04/07/2023","4.2811","4.2909","4.3039","4.2814","","-0.14%"
"04/06/2023","4.2870","4.2956","4.3095","4.2819","","-0.11%"
"04/05/2023","4.2918","4.2701","4.3064","4.2623","","0.59%"
"04/04/2023","4.2665","4.2867","4.2975","4.2625","","-0.41%"
"04/03/2023","4.2841","4.3163","4.3436","4.2832","","-0.63%"
"03/31/2023","4.3113","4.2866","4.3205","4.2778","","0.60%"
"03/30/2023","4.2856","4.3231","4.3341","4.2816","","-0.81%"
"03/29/2023","4.3204","4.3134","4.3332","4.3091","","0.24%"
"03/28/2023","4.3099","4.3424","4.3446","4.3094","","-0.66%"
"03/27/2023","4.3385","4.3576","4.3623","4.3382","","-0.29%"
"03/24/2023","4.3511","4.3229","4.3804","4.3183","","0.68%"
"03/23/2023","4.3217","4.3179","4.3288","4.2832","","0.15%"
"03/22/2023","4.3154","4.3465","4.3628","4.2908","","-0.66%"
"03/21/2023","4.3442","4.3878","4.4010","4.3440","","-0.96%"
"03/20/2023","4.3863","4.4083","4.4350","4.3840","","-0.45%"
"03/17/2023","4.4063","4.4268","4.4368","4.4001","","-0.42%"
"03/16/2023","4.4247","4.4467","4.4630","4.4093","","-0.44%"
"03/15/2023","4.4442","4.3851","4.4717","4.3721","","1.37%"
"03/14/2023","4.3841","4.3619","4.3952","4.3576","","0.53%"
"03/13/2023","4.3610","4.3960","4.4125","4.3488","","-0.76%"
"03/10/2023","4.3942","4.4335","4.4382","4.3693","","-0.81%"
"03/09/2023","4.4301","4.4415","4.4451","4.4208","","-0.22%"
"03/08/2023","4.4397","4.4454","4.4655","4.4211","","-0.08%"
"03/07/2023","4.4431","4.3901","4.4509","4.3796","","1.32%"
"03/06/2023","4.3852","4.4285","4.4372","4.3839","","-0.89%"
"03/03/2023","4.4248","4.4320","4.4501","4.4208","","-0.13%"
"03/02/2023","4.4307","4.3804","4.4453","4.3756","","1.19%"
"03/01/2023","4.3786","4.4487","4.4550","4.3672","","-1.54%"
"02/28/2023","4.4470","4.4445","4.4590","4.4216","","0.14%"
"02/27/2023","4.4409","4.4759","4.4836","4.4363","","-0.73%"
"02/24/2023","4.4735","4.4599","4.4854","4.4503","","0.35%"
"02/23/2023","4.4580","4.4810","4.4946","4.4544","","-0.44%"
"02/22/2023","4.4777","4.4616","4.4847","4.4478","","0.42%"
"02/21/2023","4.4589","4.4376","4.4682","4.4329","","0.55%"
"02/20/2023","4.4345","4.4493","4.4659","4.4317","","-0.28%"
"02/17/2023","4.4469","4.4672","4.5033","4.4441","","-0.42%"
"02/16/2023","4.4656","4.4530","4.4885","4.4408","","0.33%"
"02/15/2023","4.4507","4.4467","4.4746","4.4311","","0.16%"
"02/14/2023","4.4437","4.4628","4.4734","4.4134","","-0.36%"
"02/13/2023","4.4596","4.4678","4.4960","4.4598","","-0.08%"
"02/10/2023","4.4630","4.4289","4.4819","4.4218","","0.85%"
"02/09/2023","4.4253","4.4236","4.4357","4.3914","","0.11%"
"02/08/2023","4.4206","4.4291","4.4338","4.3941","","-0.10%"
"02/07/2023","4.4251","4.4254","4.4760","4.4112","","0.05%"
"02/06/2023","4.4230","4.3696","4.4339","4.3626","","1.29%"
"02/03/2023","4.3665","4.2969","4.3742","4.2864","","1.66%"
"02/02/2023","4.2950","4.2803","4.3099","4.2639","","0.43%"
"02/01/2023","4.2764","4.3351","4.3420","4.2758","","-1.31%"
"01/31/2023","4.3331","4.3414","4.3649","4.3272","","-0.15%"
"01/30/2023","4.3395","4.3303","4.3486","4.3136","","0.29%"
"01/27/2023","4.3268","4.3246","4.3450","4.3185","","0.14%"
"01/26/2023","4.3209","4.3202","4.3465","4.3131","","0.09%"
"01/25/2023","4.3171","4.3285","4.3456","4.3156","","-0.21%"
"01/24/2023","4.3260","4.3288","4.3527","4.3218","","0.01%"
"01/23/2023","4.3256","4.3326","4.3460","4.3143","","-0.11%"
"01/20/2023","4.3303","4.3589","4.3676","4.3328","","-0.60%"
"01/19/2023","4.3565","4.3688","4.3977","4.3419","","-0.25%"
