"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2023","4.1355","4.1451","4.1501","4.1286","","-0.14%"
"09/01/2023","4.1414","4.1262","4.1494","4.1037","","0.44%"
"08/31/2023","4.1231","4.0907","4.1332","4.0825","","0.84%"
"08/30/2023","4.0886","4.1034","4.1238","4.0778","","-0.29%"
"08/29/2023","4.1004","4.1298","4.1483","4.0981","","-0.64%"
"08/28/2023","4.1270","4.1357","4.1459","4.1235","","-0.22%"
"08/25/2023","4.1359","4.1434","4.1563","4.1140","","-0.09%"
"08/24/2023","4.1395","4.1130","4.1517","4.1051","","0.74%"
"08/23/2023","4.1091","4.1233","4.1476","4.1055","","-0.29%"
"08/22/2023","4.1212","4.1084","4.1253","4.0784","","0.38%"
"08/21/2023","4.1054","4.1026","4.1198","4.0945","","0.22%"
"08/18/2023","4.0963","4.1098","4.1311","4.0975","","-0.24%"
"08/17/2023","4.1063","4.1080","4.1194","4.0934","","0.04%"
"08/16/2023","4.1048","4.1055","4.1132","4.0717","","0.05%"
"08/15/2023","4.1029","4.0800","4.1241","4.0736","","0.67%"
"08/14/2023","4.0754","4.0493","4.0991","4.0422","","0.71%"
"08/11/2023","4.0465","4.0512","4.0587","4.0231","","-0.03%"
"08/10/2023","4.0476","4.0700","4.0775","4.0258","","-0.50%"
"08/09/2023","4.0679","4.0729","4.0825","4.0517","","-0.05%"
"08/08/2023","4.0698","4.0216","4.0854","4.0174","","1.29%"
"08/07/2023","4.0181","4.0271","4.0465","4.0158","","-0.14%"
"08/04/2023","4.0239","4.0749","4.0823","4.0135","","-1.15%"
"08/03/2023","4.0709","4.0658","4.0982","4.0579","","0.21%"
"08/02/2023","4.0625","4.0495","4.0868","4.0309","","0.37%"
"08/01/2023","4.0474","4.0045","4.0598","3.9999","","1.11%"
"07/31/2023","4.0028","4.0055","4.0112","3.9843","","0.02%"
"07/28/2023","4.0021","4.0289","4.0484","3.9939","","-0.58%"
"07/27/2023","4.0254","3.9899","4.0375","3.9638","","0.96%"
"07/26/2023","3.9872","4.0087","4.0168","3.9823","","-0.46%"
"07/25/2023","4.0056","4.0216","4.0266","4.0001","","-0.36%"
"07/24/2023","4.0199","4.0115","4.0305","3.9948","","0.34%"
"07/21/2023","4.0061","4.0011","4.0219","3.9913","","0.20%"
"07/20/2023","3.9981","3.9757","4.0071","3.9628","","0.63%"
"07/19/2023","3.9731","3.9629","3.9880","3.9512","","0.32%"
"07/18/2023","3.9603","3.9544","3.9676","3.9352","","0.25%"
"07/17/2023","3.9505","3.9666","3.9754","3.9494","","-0.32%"
"07/14/2023","3.9631","3.9587","3.9869","3.9548","","0.16%"
"07/13/2023","3.9567","3.9873","3.9960","3.9558","","-0.63%"
"07/12/2023","3.9817","4.0325","4.0416","3.9799","","-1.18%"
"07/11/2023","4.0292","4.0399","4.0638","4.0231","","-0.17%"
"07/10/2023","4.0361","4.0615","4.0793","4.0372","","-0.50%"
"07/07/2023","4.0565","4.1189","4.1364","4.0566","","-1.43%"
"07/06/2023","4.1152","4.1132","4.1552","4.1023","","0.13%"
"07/05/2023","4.1099","4.0771","4.1187","4.0641","","0.90%"
"07/04/2023","4.0733","4.0665","4.0789","4.0487","","0.26%"
"07/03/2023","4.0627","4.0634","4.0886","4.0575","","0.07%"
"06/30/2023","4.0598","4.0940","4.1161","4.0603","","-0.75%"
"06/29/2023","4.0904","4.1030","4.1198","4.0642","","-0.28%"
"06/28/2023","4.1019","4.0581","4.1212","4.0554","","1.11%"
"06/27/2023","4.0568","4.0710","4.0755","4.0331","","-0.30%"
